tissue,simple_tissue,system,embryo,germ_layer
diaphragm,diaphragm,septum transversum,cranial mesenchyme,Ectoderm
cartilage facial,cartilage,cartilage,head mesenchyme,Ectoderm
adrenal medulla,adrenal,neuroendocrine,neural crest,Ectoderm
paraganglia,adrenal,neuroendocrine,neural crest,Ectoderm
dentin,bone,teeth,neural crest,Ectoderm
ischiatic nerve,peripheral nerve,peripheral nervous,neural crest,Ectoderm
melanocyte,skin,integumentary,neural crest,Ectoderm
brain,brain NOS,brain,neural tube,Ectoderm
brain cerebellar,brain cerebellar,brain,neural tube,Ectoderm
brain frontal,brain frontal,brain,neural tube,Ectoderm
"brain frontal, praecentral",brain frontal,brain,neural tube,Ectoderm
brain fronto-temporal,brain frontal,brain,neural tube,Ectoderm
brain prefrontal cortex,brain frontal,brain,neural tube,Ectoderm
brain caudate nucleus,brain limbic,brain,neural tube,Ectoderm
brain cingulate gyrus,brain limbic,brain,neural tube,Ectoderm
brain gyrus cinguli,brain limbic,brain,neural tube,Ectoderm
brain hippocampus,brain limbic,brain,neural tube,Ectoderm
brain striatum,brain limbic,brain,neural tube,Ectoderm
brain thalamic,brain limbic,brain,neural tube,Ectoderm
brain motor cortex,brain motor cortex,brain,neural tube,Ectoderm
brain occipital,brain occipital,brain,neural tube,Ectoderm
brain visual cortex,brain occipital,brain,neural tube,Ectoderm
brain parietal,brain parietal,brain,neural tube,Ectoderm
brain sensory cortex,brain sensory cortex,brain,neural tube,Ectoderm
brain brain stem,brain stem,brain,neural tube,Ectoderm
brain cerebellopontine angle,brain stem,brain,neural tube,Ectoderm
brain medulla oblongata,brain stem,brain,neural tube,Ectoderm
brain midbrain,brain stem,brain,neural tube,Ectoderm
brain pons,brain stem,brain,neural tube,Ectoderm
brain entorhinal cortex,brain temporal,brain,neural tube,Ectoderm
brain superior temporal gyrus,brain temporal,brain,neural tube,Ectoderm
brain temporal,brain temporal,brain,neural tube,Ectoderm
posterior pituitary,pituitary,neuroendocrine,neural tube,Ectoderm
brain ventricular,brain ventricular,brain,neural tube,Ectoderm
cornea,eye,eye,sensory organs,Ectoderm
lens,eye,eye,sensory organs,Ectoderm
retina,eye,eye,sensory organs,Ectoderm
buccal,buccal,integumentary,surface ectoderm,Ectoderm
hair,hair,integumentary,surface ectoderm,Ectoderm
nails,nails,integumentary,surface ectoderm,Ectoderm
epidermis,skin,integumentary,surface ectoderm,Ectoderm
keratinocyte,skin,integumentary,surface ectoderm,Ectoderm
skin,skin,integumentary,surface ectoderm,Ectoderm
colon,colon,gastrointestinal,gut tube,Endoderm
airway epithelium,esophagus,respiratory,gut tube,Endoderm
esophagus,esophagus,gastrointestinal,gut tube,Endoderm
gallbladder,gallbladder,gastrointestinal,gut tube,Endoderm
liver,liver,endocrine,gut tube,Endoderm
lung,lung,respiratory,gut tube,Endoderm
pancreas,pancreas,endocrine,gut tube,Endoderm
prostate,prostate,reproductive,gut tube,Endoderm
rectum,rectum,gastrointestinal,gut tube,Endoderm
saliva,saliva,gastrointestinal,gut tube,Endoderm
gastric mucosa,stomach,gastrointestinal,gut tube,Endoderm
stomach,stomach,gastrointestinal,gut tube,Endoderm
thymus,thymus,lymphatic,gut tube,Endoderm
thyroid,thyroid,endocrine,gut tube,Endoderm
tonsils,tonsils,lymphatic,gut tube,Endoderm
adrenal,adrenal,neuroendocrine,intermediate mesoderm,Mesoderm
adrenal cortex,adrenal,neuroendocrine,intermediate mesoderm,Mesoderm
bladder,bladder,urinary,intermediate mesoderm,Mesoderm
urinary bladder,bladder,urinary,intermediate mesoderm,Mesoderm
gonads,gonads,reproductive,intermediate mesoderm,Mesoderm
kidney,kidney,kidney,intermediate mesoderm,Mesoderm
adipose,adipose,adipose,lateral plate mesoderm,Mesoderm
adipose abdominal,adipose,adipose,lateral plate mesoderm,Mesoderm
adipose subcutaenous,adipose,adipose,lateral plate mesoderm,Mesoderm
aorta,artery,smooth muscle,lateral plate mesoderm,Mesoderm
aorta abdominal,artery,smooth muscle,lateral plate mesoderm,Mesoderm
aorta thoracic,artery,smooth muscle,lateral plate mesoderm,Mesoderm
coronary artery,artery,smooth muscle,lateral plate mesoderm,Mesoderm
splenic artery,artery,smooth muscle,lateral plate mesoderm,Mesoderm
blood,blood,blood,lateral plate mesoderm,Mesoderm
peripheral blood,blood,blood,lateral plate mesoderm,Mesoderm
peripheral blood leukocytes,blood,blood,lateral plate mesoderm,Mesoderm
whole blood,blood,blood,lateral plate mesoderm,Mesoderm
bone marrow,bone marrow,bone marrow,lateral plate mesoderm,Mesoderm
bone marrow red,bone marrow,bone marrow,lateral plate mesoderm,Mesoderm
bone marrow yellow,bone marrow,bone marrow,lateral plate mesoderm,Mesoderm
breast,breast,endothelium,lateral plate mesoderm,Mesoderm
mammary endothelial,breast,endothelium,lateral plate mesoderm,Mesoderm
mammary epithelial,breast,endothelium,lateral plate mesoderm,Mesoderm
mammary fibroblast,breast,endothelium,lateral plate mesoderm,Mesoderm
heart,heart,heart,lateral plate mesoderm,Mesoderm
limb,limb,limb,lateral plate mesoderm,Mesoderm
lymph node,lymph node,lymphatic,lateral plate mesoderm,Mesoderm
spleen,spleen,spleen,lateral plate mesoderm,Mesoderm
chordamesoderm,chordamesoderm,chordamesoderm,mesoderm,Mesoderm
connective tissues of the gut and integuments,connective tissues of the gut and integuments,mesothelium,mesoderm,Mesoderm
excretory tract,excretory tract,excretory tract,mesoderm,Mesoderm
mesenchyme,mesenchyme,mesenchyme,mesoderm,Mesoderm
omentum,mesothelium,peritoneum,mesoderm,Mesoderm
pericardium,mesothelium,mesothelium,mesoderm,Mesoderm
bone,bone,bone,paraxial mesoderm,Mesoderm
cartilage,cartilage,cartilage,paraxial mesoderm,Mesoderm
joint cartilage,cartilage,cartilage,paraxial mesoderm,Mesoderm
muscle,muscle,skeletal muscle,paraxial mesoderm,Mesoderm
dermal fibroblast,skin,integumentary,paraxial mesoderm,Mesoderm
dermis,skin,integumentary,paraxial mesoderm,Mesoderm
tendon,tendon,tendon and ligament,paraxial mesoderm,Mesoderm
Kidney_glomerulus_podocyte,Kidney glomerulus,renal system,metanephric mesoderm,Mesoderm
kidney_glomerulus_mesanglia,kidney glomerulus,renal system,metanephric mesoderm,Mesoderm
iPSC,iPSC,stem,stem,Stem
plasma,plasma,plasma,plasma,Plasma
testis,testis,testis,testis,Endoderm
thymus,thymus,thymus,thymus,Endoderm
thyroid,thyroid,thyroid,thyroid,Endoderm
placenta,placenta,placenta,placenta,Stem
aorta,aorta,aorta,aorta,Mesoderm
small intestine,small intestine,small intestine,small intestine,Endoderm
hct116,hct116,colon,gut tube,Endoderm
small intestine,small intestine,gastrointestinal,small intestine,Endoderm
cordblood,cordblood,cordblood,cordblood,Stem
phiX,phiX,phiX,phiX,phiX
